depth [m],age ss09sea06bm [yr],age GICC05modelext [yr],"accumulation, tuned [m ice/yr]",temperature [°C]
1381.57,10000,9965,0.190,-28.8
1383.36,10020,9987,0.190,-29.1
1385.10,10040,10010,0.189,-29.2
1386.83,10060,10033,0.187,-29.2
1388.51,10080,10056,0.186,-29.1
1390.20,10100,10080,0.185,-28.9
1391.90,10120,10102,0.185,-28.7
1393.59,10140,10126,0.185,-28.7
1395.28,10160,10149,0.185,-28.8
1397.00,10180,10172,0.185,-29.1
1398.72,10200,10194,0.183,-29.6
1400.36,10220,10217,0.180,-30.1
1401.97,10240,10239,0.176,-30.4
1403.51,10260,10260,0.174,-30.6
1405.03,10280,10280,0.172,-30.5
1406.57,10300,10302,0.172,-30.3
1408.18,10320,10324,0.172,-30.1
1409.81,10340,10346,0.172,-30.2
1411.37,10360,10369,0.172,-30.4
1412.89,10380,10391,0.171,-30.7
1414.40,10400,10414,0.171,-31.0
1415.95,10420,10437,0.172,-31.2
1417.52,10440,10460,0.173,-31.1
1419.06,10460,10483,0.175,-30.9
1420.64,10480,10506,0.175,-30.7
1422.22,10500,10530,0.175,-30.7
1423.80,10520,10554,0.175,-31.0
1425.35,10540,10577,0.174,-31.3
1426.88,10560,10599,0.174,-31.3
1428.41,10580,10623,0.173,-31.2
1429.90,10600,10646,0.173,-30.9
1431.45,10620,10669,0.173,-30.7
1433.02,10640,10693,0.173,-30.8
1434.55,10660,10716,0.172,-31.1
1436.04,10680,10739,0.171,-31.4
1437.54,10700,10762,0.170,-31.7
1439.02,10720,10785,0.168,-32.0
1440.48,10740,10809,0.166,-32.3
1441.96,10760,10832,0.164,-32.8
1443.40,10780,10854,0.160,-33.5
1444.76,10800,10874,0.156,-34.3
1446.07,10820,10896,0.153,-34.8
1447.38,10840,10917,0.152,-35.0
1448.69,10860,10941,0.151,-34.7
1450.01,10880,10962,0.152,-34.2
1451.32,10900,10985,0.154,-33.7
1452.67,10920,11006,0.156,-33.3
1454.06,10940,11029,0.157,-33.0
1455.45,10960,11051,0.158,-33.0
1456.81,10980,11074,0.159,-33.1
1458.16,11000,11096,0.157,-33.3
1459.54,11020,11119,0.157,-33.3
1460.92,11040,11141,0.155,-33.3
1462.27,11060,11165,0.154,-33.3
1463.62,11080,11187,0.151,-33.3
1464.92,11100,11209,0.150,-33.2
1466.18,11120,11232,0.148,-32.8
1467.48,11140,11253,0.149,-32.3
1468.87,11160,11276,0.149,-32.1
1470.27,11180,11299,0.150,-32.4
1471.59,11200,11321,0.147,-32.8
1472.90,11220,11344,0.144,-33.2
1474.20,11240,11366,0.139,-33.7
1475.45,11260,11388,0.136,-34.4
1476.69,11280,11410,0.131,-35.2
1477.86,11300,11433,0.128,-35.9
1478.97,11320,11456,0.126,-36.3
1480.09,11340,11479,0.127,-36.2
1481.27,11360,11501,0.129,-35.7
1482.52,11380,11524,0.134,-35.1
1483.82,11400,11547,0.137,-34.5
1485.14,11420,11570,0.140,-34.0
1486.47,11440,11592,0.140,-33.7
1487.81,11460,11615,0.138,-33.6
1489.16,11480,11638,0.130,-34.1
1490.43,11500,11660,0.121,-35.3
1491.57,11520,11682,0.107,-37.3
1492.44,11540,11704,0.093,-39.6
1493.14,11560,11726,0.081,-41.6
1493.79,11580,11745,0.072,-42.9
1494.43,11600,11766,0.067,-43.6
1495.06,11620,11787,0.065,-43.9
1495.69,11640,11808,0.064,-43.9
1496.34,11660,11829,0.064,-43.7
1496.98,11680,11851,0.065,-43.5
1497.62,11700,11873,0.065,-43.4
1498.27,11720,11897,0.064,-43.7
1498.89,11740,11918,0.063,-44.1
1499.46,11760,11938,0.062,-44.5
1500.04,11780,11956,0.062,-44.7
1500.62,11800,11976,0.062,-44.5
1501.22,11820,11997,0.063,-44.1
1501.83,11840,12019,0.064,-43.5
1502.49,11860,12039,0.064,-43.2
1503.13,11880,12061,0.064,-43.2
1503.74,11900,12083,0.063,-43.8
1504.32,11920,12103,0.061,-44.5
1504.87,11940,12123,0.059,-45.1
1505.40,11960,12142,0.058,-45.3
1505.96,11980,12164,0.058,-45.2
1506.52,12000,12185,0.059,-45.0
1507.08,12020,12205,0.059,-44.7
1507.68,12040,12227,0.060,-44.5
1508.27,12060,12249,0.061,-44.4
1508.85,12080,12269,0.061,-44.4
1509.44,12100,12289,0.060,-44.5
1510.01,12120,12310,0.059,-44.7
1510.55,12140,12331,0.058,-44.9
1511.09,12160,12351,0.057,-45.1
1511.64,12180,12372,0.057,-45.2
1512.17,12200,12392,0.057,-45.1
1512.71,12220,12411,0.057,-45.1
1513.26,12240,12430,0.057,-45.0
1513.81,12260,12448,0.058,-44.9
1514.35,12280,12466,0.058,-44.7
1514.91,12300,12486,0.059,-44.5
1515.49,12320,12508,0.060,-44.3
1516.08,12340,12529,0.060,-44.1
1516.66,12360,12551,0.060,-44.1
1517.23,12380,12572,0.059,-44.4
1517.76,12400,12593,0.057,-44.8
1518.27,12420,12615,0.055,-45.3
1518.78,12440,12635,0.053,-45.5
1519.28,12460,12652,0.052,-45.7
1519.76,12480,12670,0.051,-45.8
1520.25,12500,12687,0.051,-45.9
1520.73,12520,12704,0.051,-46.0
1521.21,12540,12720,0.053,-45.8
1521.71,12560,12736,0.055,-45.2
1522.27,12580,12757,0.059,-44.2
1522.86,12600,12778,0.063,-43.1
1523.50,12620,12802,0.066,-42.3
1524.18,12640,12825,0.070,-41.5
1524.87,12660,12846,0.073,-40.9
1525.57,12680,12868,0.076,-40.3
1526.28,12700,12889,0.078,-39.8
1527.02,12720,12909,0.081,-39.2
1527.80,12740,12929,0.083,-38.6
1528.63,12760,12950,0.084,-38.3
1529.46,12780,12972,0.084,-38.4
1530.23,12800,12989,0.083,-38.6
1530.96,12820,13006,0.080,-39.0
1531.69,12840,13025,0.078,-39.4
1532.38,12860,13043,0.075,-39.7
1533.06,12880,13059,0.073,-40.1
1533.73,12900,13077,0.071,-40.4
1534.39,12920,13095,0.069,-40.7
1535.02,12940,13114,0.067,-41.1
1535.61,12960,13132,0.065,-41.4
1536.21,12980,13149,0.065,-41.6
1536.80,13000,13167,0.065,-41.6
1537.40,13020,13185,0.065,-41.4
1538.02,13040,13202,0.067,-41.2
1538.66,13060,13220,0.069,-40.9
1539.32,13080,13239,0.072,-40.6
1540.00,13100,13260,0.074,-40.2
1540.71,13120,13278,0.077,-39.9
1541.46,13140,13295,0.079,-39.6
1542.20,13160,13313,0.080,-39.5
1542.94,13180,13330,0.082,-39.3
1543.69,13200,13348,0.083,-39.1
1544.47,13220,13367,0.085,-38.8
1545.26,13240,13385,0.086,-38.6
1546.07,13260,13403,0.088,-38.4
1546.89,13280,13422,0.089,-38.2
1547.69,13300,13439,0.089,-38.0
1548.50,13320,13459,0.090,-37.9
1549.31,13340,13477,0.091,-37.7
1550.13,13360,13495,0.092,-37.5
1550.98,13380,13514,0.092,-37.4
1551.83,13400,13532,0.091,-37.6
1552.65,13420,13550,0.089,-37.9
1553.45,13440,13567,0.086,-38.4
1554.21,13460,13586,0.083,-38.9
1554.92,13480,13604,0.082,-39.3
1555.61,13500,13623,0.081,-39.7
1556.32,13520,13641,0.083,-39.7
1557.08,13540,13660,0.086,-39.2
1557.88,13560,13680,0.089,-38.3
1558.72,13580,13698,0.093,-37.5
1559.60,13600,13717,0.095,-36.8
